ZSCORE_ONCODRIVECLUST	PVALUE_ONCODRIVEFM	DRIVER_LABEL	CLUST_COORDS	SYMBOL	POOL_SIGNALS	MUTS_CS	MUTS_PAM	KNOWN_DRIVER	ONCODRIVE_ROLE	PVALUE_ONCODRIVECLUST	GENE	QVALUE_ONCODRIVEFM	PROJECT	SIGNAL_COUNT	SIGNALS	CANCER_TYPE	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES	QVALUE_ONCODRIVECLUST
	0.127719310765	Pooled_driver		NFE2L2	RF	6	4.0	True	0.985		ENSG00000116044	0.548414818266	LUAD_TCGA	0		LUAD	4.0	6	
		Pooled_driver		CNOT3	F	6	3.0		0.9095		ENSG00000088038		LUAD_TCGA	0		LUAD	3.0	6	
		Pooled_driver		HSP90AB1	F	6	2.0	True	0.081		ENSG00000096384		LUAD_TCGA	0		LUAD	2.0	6	
	0.67965431735	Pooled_driver		PTGS1	F	6	4.0		0.0635		ENSG00000095303	1.0	LUAD_TCGA	0		LUAD	4.0	6	
	0.370951255073	Pooled_driver		SF3B1	F	6	5.0	True	0.9435		ENSG00000115524	0.8959173687180001	LUAD_TCGA	0		LUAD	5.0	6	
	0.06622997211130001	Pooled_driver		EIF2AK3	F	5	5.0		0.038		ENSG00000172071	0.384230056122	LUAD_TCGA	0		LUAD	5.0	5	
	0.733585975062	Pooled_driver		RASA1	RF	5	3.0		0.0085		ENSG00000145715	1.0	LUAD_TCGA	0		LUAD	3.0	5	
	0.10960429049699999	Pooled_driver		PBRM1	RF	5	4.0	True	0.0025		ENSG00000163939	0.5099259806409999	LUAD_TCGA	0		LUAD	4.0	5	
		Pooled_driver		EEF1B2	C	5	5.0		0.8225		ENSG00000114942		LUAD_TCGA	0		LUAD	4.0	4	
	0.142024903803	Pooled_driver		BRWD1	F	5	5.0		0.9259999999999999		ENSG00000185658	0.57510733797	LUAD_TCGA	0		LUAD	5.0	5	
		Pooled_driver		CCT5	F	5	4.0		0.8805		ENSG00000150753		LUAD_TCGA	0		LUAD	2.0	2	
		Pooled_driver		CIC	RF	5	4.0	True	0.079		ENSG00000079432		LUAD_TCGA	0		LUAD	4.0	5	
		Pooled_driver		ACO1	F	5	4.0		0.254		ENSG00000122729		LUAD_TCGA	0		LUAD	4.0	5	
		Pooled_driver		CLSPN	F	5	4.0		0.11599999999999999		ENSG00000092853		LUAD_TCGA	0		LUAD	4.0	5	
		Pooled_driver		CHD1L	F	5	4.0		0.6579999999999999		ENSG00000131778		LUAD_TCGA	0		LUAD	3.0	4	
	0.148485599978	Pooled_driver		COL1A1	F	5	5.0	True	0.977		ENSG00000108821	0.585150489386	LUAD_TCGA	0		LUAD	5.0	5	
		Pooled_driver		LDHA	F	5	3.0		0.22899999999999998		ENSG00000134333		LUAD_TCGA	0		LUAD	3.0	5	
	0.0014868454885299998	Pooled_driver		PIP5K1A	F	5	5.0		0.547		ENSG00000143398	0.036541046041599995	LUAD_TCGA	0		LUAD	5.0	5	
		Pooled_driver		CUL2	F	5	5.0		0.207		ENSG00000108094		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		SMC1A	F	5	3.0		0.8855		ENSG00000072501		LUAD_TCGA	0		LUAD	3.0	5	
	0.00038058884050199993	Pooled_driver		PTEN	RFC	5	5.0	True	0.01		ENSG00000171862	0.013215809591899998	LUAD_TCGA	0		LUAD	5.0	5	
	0.00198575459496	Pooled_driver		MAP2K1	FC	5	5.0		0.972		ENSG00000169032	0.0444660561639	LUAD_TCGA	0		LUAD	5.0	5	
	0.38250986333000003	Pooled_driver		CYLD	F	5	4.0	True	0.035		ENSG00000083799	0.90921987355	LUAD_TCGA	0		LUAD	4.0	5	
		Pooled_driver		PCSK6	F	5	5.0		0.888		ENSG00000140479		LUAD_TCGA	0		LUAD	5.0	5	
	0.00505055513326	Pooled_driver		CNOT4	RF	5	5.0		0.5875		ENSG00000080802	0.07452797921080001	LUAD_TCGA	0		LUAD	5.0	5	
		Pooled_driver		TAOK1	F	4	2.0		0.5770000000000001		ENSG00000160551		LUAD_TCGA	0		LUAD	2.0	4	
		Pooled_driver		MAX	F	4	2.0		0.7240000000000001		ENSG00000125952		LUAD_TCGA	0		LUAD	2.0	4	
		Pooled_driver		MAP3K1	RF	4	4.0		0.01		ENSG00000095015		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		LCP1	F	4	4.0	True	0.013999999999999999		ENSG00000136167		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		RHEB	F	4	4.0		0.8859999999999999		ENSG00000106615		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		ERBB2IP	F	4	4.0		0.2055		ENSG00000112851		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		STK4	F	4	4.0		0.401		ENSG00000101109		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		KDM6A	RF	4	2.0	True	0.0095		ENSG00000147050		LUAD_TCGA	0		LUAD	2.0	4	
		Pooled_driver		ACTG1	RF	4	3.0		0.927		ENSG00000184009		LUAD_TCGA	0		LUAD	3.0	4	
		Pooled_driver		MAP4K3	F	4	3.0		0.055		ENSG00000011566		LUAD_TCGA	0		LUAD	3.0	4	
		Pooled_driver		FBXW7	RFC	4	3.0	True	0.0335		ENSG00000109670		LUAD_TCGA	0		LUAD	3.0	4	
		Pooled_driver		CAPN7	F	4	4.0		0.354		ENSG00000131375		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		HSP90AA1	F	4	4.0	True	0.8859999999999999		ENSG00000080824		LUAD_TCGA	0		LUAD	3.0	3	
		Pooled_driver		KLF6	F	4	4.0	True	0.15		ENSG00000067082		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		GNG2	F	4	4.0		0.0205		ENSG00000186469		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		DHX15	F	4	3.0		0.0075		ENSG00000109606		LUAD_TCGA	0		LUAD	3.0	4	
		Pooled_driver		SIN3A	F	4	4.0		0.752		ENSG00000169375		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		UPF3B	F	4	4.0		0.1295		ENSG00000125351		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		MKL1	F	4	2.0	True	0.706		ENSG00000196588		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		PPP2R1A	F	4	3.0	True	0.895		ENSG00000105568		LUAD_TCGA	0		LUAD	3.0	4	
		Pooled_driver		CDKN1B	RF	4	4.0		0.0515		ENSG00000111276		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		COPS2	F	4	4.0		0.0355		ENSG00000166200		LUAD_TCGA	0		LUAD	4.0	4	
		Pooled_driver		TNPO1	F	4	3.0		0.6940000000000001		ENSG00000083312		LUAD_TCGA	0		LUAD	3.0	4	
		Pooled_driver		MYB	F	4	2.0	True	0.2695		ENSG00000118513		LUAD_TCGA	0		LUAD	2.0	4	
		Pooled_driver		PHF6	RF	4	3.0	True	0.0205		ENSG00000156531		LUAD_TCGA	0		LUAD	2.0	3	
		Pooled_driver		EIF4A2	F	4	4.0	True	0.836		ENSG00000156976		LUAD_TCGA	0		LUAD	4.0	4	
